          (   8,    7) (   9,    6) (   7,    6) (   7,    7) (   8,    6) (   8,    6) (   8,    5) (   7,    7) (   7,    6) (   6,    7)
          (   8,    6) (   8,    5) (   9,    7) (   8,    3) (   8,    6) (   7,    5) (   8,    6) (   8,    6) (   8,    8) (   7,    8)
          (   7,    6) (   9,    8) (   8,    7) (   8,    7) (   8,    6) (   8,    8) (   8,    7) (   8,    8) (   8,    6) (   8,    8)
          (   8,    8) (   8,    7) (   8,    8) (   9,    7) (   8,    6) (   9,    6) (   8,    5) (   8,    6) (   8,    6) (   8,    7)
          (   9,    8) (   9,    6) (   8,    6) (   9,    7) (   8,    7) (   9,    8) (   8,    7) (   8,    8) (   8,    8) (   8,    6)
          (   8,    7) (   8,    6) (   8,    7) (   8,    6) (   9,    8) (   8,    6) (   8,    6) (   8,    7) (   8,    7) (   8,    8)
          (   8,    8) (   8,    7) (   8,    7) (   8,    7) (   9,    8) (   8,    6) (   8,    6) (   8,    7) (   8,    8) (   8,    8)
          (   8,    7) (   9,    8) (   9,    7) (   8,    6) (   9,    8) (   8,    8) (   9,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    7) (   8,    8) (   8,    7) (   8,    7) (   8,    7) (   8,    6) (   8,    8) (   8,    7) (   8,    7) (   8,    8)
          (   9,    8) (   8,    8) (   8,    8) (   8,    7) (   9,    7) (   8,    8) (   8,    8) (   8,    6) (   8,    6) (   8,    8)
          (   8,    5) (   8,    7) (   8,    7) (   8,    6) (   8,    6) (   8,    6) (   9,    7) (   9,    5) (   8,    8) (   8,    6)
          (   8,    8) (   9,    6) (   8,    8) (   8,    8) (   8,    8) (   8,    7) (   8,    8) (   8,    7) (   9,    6) (   8,    8)
          (   8,    7) (   8,    8) (   8,    7) (   8,    8) (   8,    6) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   9,    8)
          (   9,    6) (   8,    4) (   8,    7) (   8,    7) (   8,    7) (   8,    8) (   8,    6) (   9,    6) (   8,    7) (   8,    6)
          (   8,    5) (   8,    7) (   8,    8) (   8,    7) (   9,    7) (   9,    7) (   8,    8) (   9,    8) (   8,    6) (   8,    7)
          (   8,    8) (   9,    8) (   9,    7) (   8,    8) (   8,    6) (   8,    8) (   8,    7) (   9,    7) (   8,    8) (   8,    6)
          (   8,    7) (   8,    8) (   8,    8) (   8,    8) (   8,    7) (   8,    6) (   8,    7) (   9,    7) (   8,    8) (   8,    8)
          (   8,    7) (   8,    8) (   8,    8) (   8,    7) (   8,    6) (   8,    8) (   8,    7) (   8,    7) (   8,    5) (   8,    8)
          (   8,    6) (   9,    7) (   8,    8) (   8,    8) (   9,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    7) (   9,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    7) (   8,    7) (   8,    4) (   8,    7) (   8,    7) (   9,    8) (   8,    6)
          (   8,    7) (   8,    8) (   8,    6) (   8,    7) (   9,    8) (   8,    6) (   8,    7) (   8,    7) (   8,    7) (   8,    6)
          (   9,    8) (   9,    8) (   8,    6) (   8,    8) (   8,    6) (   8,    7) (   9,    7) (   8,    8) (   8,    8) (   9,    7)
          (   9,    7) (   8,    8) (   8,    5) (   8,    6) (   8,    7) (   8,    8) (   8,    7) (   9,    7) (   8,    7) (   8,    5)
          (   8,    7) (   8,    6) (   9,    8) (   8,    7) (   8,    8) (   8,    6) (   8,    5) (   9,    8) (   8,    8) (   8,    6)
          (   8,    7) (   8,    7) (   8,    7) (   8,    8) (   8,    8) (   8,    8) (   9,    6) (   8,    8) (   8,    6) (   8,    7)
          (   8,    6) (   9,    7) (   8,    7) (   9,    7) (   8,    8) (   8,    8) (   9,    6) (   8,    8) (   8,    8) (   8,    6)
          (   8,    8) (   8,    8) (   8,    7) (   8,    6) (   9,    7) (   8,    7) (   8,    7) (   9,    8) (   9,    6) (   8,    7)
          (   8,    7) (   9,    6) (   8,    6) (   8,    8) (   8,    5) (   8,    7) (   8,    7) (   8,    8) (   9,    7) (   8,    8)
          (   8,    7) (   9,    6) (   8,    8) (   8,    7) (   8,    6) (   8,    8) (   8,    8) (   8,    7) (   8,    5) (   8,    8)
          (   9,    7) (   8,    7) (   8,    6) (   8,    7) (   8,    8) (   8,    7) (   8,    8) (   8,    7) (   8,    7) (   9,    6)
          (   8,    8) (   8,    7) (   8,    8) (   8,    6) (   8,    7) (   8,    6) (   8,    8) (   8,    8) (   9,    6) (   8,    6)
          (   8,    8) (   9,    7) (   8,    8) (   8,    7) (   8,    7) (   9,    6) (   8,    7) (   8,    6) (   8,    8) (   9,    7)
          (   8,    7) (   9,    7) (   8,    7) (   8,    6) (   8,    7) (   8,    8) (   9,    7) (   8,    7) (   8,    7) (   8,    7)
          (   8,    8) (   9,    8) (   9,    5) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    7) (   8,    6) (   8,    7)
          (   8,    7) (   9,    7) (   8,    8) (   9,    8) (   8,    7) (   9,    7) (   8,    6) (   9,    7) (   8,    7) (   8,    8)
          (   9,    7) (   8,    8) (   8,    7) (   9,    6) (   8,    8) (   8,    8) (   9,    6) (   8,    8) (   8,    7) (   8,    7)
          (   8,    8) (   9,    7) (   8,    8) (   9,    6) (   8,    6) (   8,    7) (   8,    7) (   8,    6) (   8,    6) (   8,    8)
          (   8,    7) (   8,    8) (   8,    6) (   8,    7) (   8,    8) (   8,    7) (   8,    6) (   8,    7) (   8,    7) (   8,    8)
          (   9,    8) (   8,    7) (   8,    8) (   8,    8) (   8,    6) (   9,    8) (   9,    8) (   8,    6) (   8,    8) (   9,    8)
          (   8,    7) (   8,    6) (   8,    8) (   9,    5) (   9,    7) (   9,    7) (   8,    7) (   8,    6) (   8,    7) (   9,    8)
          (   8,    6) (   8,    8) (   8,    7) (   9,    7) (   8,    8) (   8,    8) (   8,    7) (   8,    8) (   8,    6) (   8,    7)
          (   9,    7) (   9,    6) (   9,    7) (   8,    8) (   8,    7) (   8,    8) (   9,    8) (   8,    7) (   8,    8) (   8,    7)
         
node   1 sent_total   5532  recv_total   4864

node   2  (   1,    0) (   0,    0) (   3,    2) (   7,    3) (   9,    6) (   9,    9) (   9,    7) (   9,    9) (   9,    7) (   9,    9)
          (  10,    9) (   9,    9) (   9,    8) (   9,    8) (   9,    9) (   9,    9) (   9,    8) (   9,    9) (  10,    8) (   9,    8)
          (   9,    9) (   9,    6) (   9,    9) (   9,    9) (   9,    9) (   9,    8) (   9,    7) (   9,    9) (   9,    7) (   9,    9)
          (   9,    8) (   9,    8) (   9,    7) (   9,    8) (  10,    9) (   9,    8) (   9,    8) (   9,    7) (   9,    7) (   9,    9)
          (   9,    9) (   9,    9) (   9,    6) (   9,    8) (   9,    8) (   9,    8) (   9,    8) (  10,    8) (   9,    7) (   9,    8)
          (   9,    9) (   9,    7) (   9,    8) (   8,    7) (   9,    7) (   9,    8) (   9,    8) (   9,    6) (   7,    7) (   9,    9)
          (   9,    7) (   8,    6) (   5,    6) (   8,    9) (   6,    8) (   7,    7) (   8,    5) (   8,    7) (   7,    6) (   8,    8)
          (   7,    7) (   8,    8) (   8,    7) (   8,    6) (   9,    7) (   8,    8) (   9,    7) (   8,    7) (   8,    7) (   9,    8)
          (   8,    6) (   9,    8) (   8,    8) (   7,    8) (   7,    7) (   8,    7) (   5,    7) (   8,    6) (   7,    9) (   9,    7)
